"","Male","","Female",""
"Major","Employed","Unemployed","Employed","Unemployed"
"General Agriculture","79577","42730","49942","29606"
"Agriculture Production And Management","86571","31139","51164","11669"
"Agricultural Economics","110970","50456","62905","40780"
"Animal Sciences","92168","26107","52581","10244"
"Food Science","102785","50907","68181","14776"
"Plant Science And Agronomy","77485","29708","46503","11607"
"Soil Science","75918","41155","51702","2039"
"Miscellaneous Agriculture","82263","14753","48583","37667"
"Environmental Science","75664","18771","52913","11764"
"Forestry","80753","39062","58348","10532"
"Natural Resources Management","75971","26835","50409","16230"
"Architecture","87793","24254","60318","12563"
"Area Ethnic And Civilization Studies","101568","20644","65384","18282"
"Communications","81548","24101","57310","19449"
"Journalism","85364","28985","61684","26178"
"Mass Media","67287","20418","52096","18641"
"Advertising And Public Relations","84314","25489","54429","16217"
"Communication Technologies","59566","12947","45933","15115"
"Computer And Information Systems","81846","25630","67485","17060"
"Computer Programming And Data Processing","76716","12796","61582","16634"
"Computer Science","102885","29685","79091","20831"
"Information Sciences","89741","34511","70991","28582"
"Computer Administration Management And Security","76154","22579","57833","15827"
"Computer Networking And Telecommunications","76324","22126","60280","37376"
"Cosmetology Services And Culinary Arts","56382","16652","34212","14191"
"General Education","71164","26527","51072","17092"
"Educational Administration And Supervision","83869","32670","65457","25123"
"School Student Counseling","78219","64459","52983","19035"
"Elementary Education","64705","25384","48712","19089"
"Mathematics Teacher Education","72081","41288","52938","18783"
"Physical And Health Education Teaching","73720","27077","55205","19520"
"Early Childhood Education","57664","18860","42273","16560"
"Science And Computer Teacher Education","78850","29465","55425","19737"
"Secondary Teacher Education","72239","36113","54208","20072"
"Special Needs Education","68817","28290","53727","21204"
"Social Science Or History Teacher Education","69716","35398","54993","17718"
"Teacher Education: Multiple Levels","62895","24614","47711","19462"
"Language And Drama Education","67336","24466","51834","22465"
"Art And Music Education","62858","32838","47089","19632"
"Miscellaneous Education","81656","34233","56247","29571"
"General Engineering","104138","33845","75174","19175"
"Aerospace Engineering","117156","46762","83276","23762"
"Biological Engineering","97072","42903","66861","4447"
"Architectural Engineering","97905","26429","63464","6458"
"Biomedical Engineering","115457","34142","74989","19864"
"Chemical Engineering","131286","41514","92356","26174"
"Civil Engineering","110216","34048","72711","17916"
"Computer Engineering","105999","27425","79135","13126"
"Electrical Engineering","118800","40591","88606","21099"
"Engineering Mechanics Physics And Science","114770","48601","74807","29239"
"Environmental Engineering","96452","20328","63564","13025"
"Geological And Geophysical Engineering","138500","64000","79624","0"
"Industrial And Manufacturing Engineering","116213","49515","83793","29656"
"Materials Engineering And Materials Science","103362","57161","74107","9144"
"Mechanical Engineering","111791","37897","84981","14155"
"Metallurgical Engineering","136579","52695","87503","32215"
"Mining And Mineral Engineering","125615","49102","99506","24644"
"Naval Architecture And Marine Engineering","119870","29683","74643","0"
"Nuclear Engineering","128771","28948","89085","4870"
"Petroleum Engineering","186563","98129","135295","81389"
"Miscellaneous Engineering","98559","30750","70291","17095"
"Engineering Technologies","83866","33327","55235","19564"
"Engineering And Industrial Management","118698","46175","74587","20662"
"Electrical Engineering Technology","86967","32210","65978","16373"
"Industrial Production Technologies","90995","30794","69938","17361"
"Mechanical Engineering Related Technologies","81272","31342","74214","2560"
"Miscellaneous Engineering Technologies","85745","34926","62780","31723"
"Linguistics And Comparative Language And Literature","78604","18709","58060","11707"
"French German Latin And Other Common Foreign Language Studies","91718","25913","63477","20063"
"Other Foreign Languages","90829","24002","58998","16769"
"Family And Consumer Sciences","75910","21199","48177","17698"
"Court Reporting","72085","22559","52011","3881"
"Pre-Law And Legal Studies","107491","15755","57700","20979"
"English Language And Literature","95457","25328","61419","18028"
"Composition And Rhetoric","59289","19759","45029","15652"
