Source: ACS 5-Year Estimates Public Use Microdata Sample 2016
Weight used: PWGTP
"Universe: Employment status recode (ESR): Civilian employed, at work, Unemployed; Recoded field of degree - first entry (FOD1P): all except: N/A (less than bachelor's degree)"
"","Sex (SEX)","","","","","",""
"","","Male","","","Female","",""
"","","Employment status recode (ESR)","","","Employment status recode (ESR)","",""
"Recoded field of degree - first entry","Total","Total Employment status recode (ESR)","Civilian employed, at work","Unemployed","Total Employment status recode (ESR)","Civilian employed, at work","Unemployed"
" -> Total","50056069","25058344","24152753","905591","24997725","24056739","940986"
"General Agriculture","122318","93792","91988","1804","28526","28022","504"
"Agriculture Production And Management","97889","75142","73759","1383","22747","22120","627"
"Agricultural Economics","37842","30585","30038","547","7257","7181","76"
"Animal Sciences","136937","65965","64860","1105","70972","69110","1862"
"Food Science","34529","14675","14273","402","19854","19182","672"
"Plant Science And Agronomy","89650","64553","62845","1708","25097","24204","893"
"Soil Science","7235","5612","5340","272","1623","1499","124"
"Miscellaneous Agriculture","12337","6233","6106","127","6104","5955","149"
"Environmental Science","159432","85651","81746","3905","73781","70655","3126"
"Forestry","64142","54552","52978","1574","9590","9275","315"
"Natural Resources Management","103845","69314","67248","2066","34531","33450","1081"
"Architecture","379308","264610","254432","10178","114698","108839","5859"
"Area Ethnic And Civilization Studies","162066","57680","55373","2307","104386","99489","4897"
"Communications","1188277","497749","475828","21921","690528","659363","31165"
"Journalism","457384","191055","182415","8640","266329","254702","11627"
"Mass Media","255954","136529","128690","7839","119425","113073","6352"
"Advertising And Public Relations","208288","71574","68207","3367","136714","130975","5739"
"Communication Technologies","74059","49530","46584","2946","24529","22851","1678"
"Computer And Information Systems","361316","258922","249591","9331","102394","97862","4532"
"Computer Programming And Data Processing","32435","22249","21103","1146","10186","9318","868"
"Computer Science","1110449","854608","828868","25740","255841","243201","12640"
"Information Sciences","110744","78689","75967","2722","32055","30907","1148"
"Computer Administration Management And Security","60992","46630","44603","2027","14362","13188","1174"
"Computer Networking And Telecommunications","61017","43888","42061","1827","17129","16284","845"
"Cosmetology Services And Culinary Arts","49116","28763","27503","1260","20353","19213","1140"
"General Education","1654054","437573","425287","12286","1216481","1183126","33355"
"Educational Administration And Supervision","40333","17527","17243","284","22806","22339","467"
"School Student Counseling","15506","3613","3486","127","11893","11368","525"
"Elementary Education","1387194","152944","148968","3976","1234250","1204590","29660"
"Mathematics Teacher Education","94817","37789","37028","761","57028","55748","1280"
"Physical And Health Education Teaching","310792","174810","169441","5369","135982","131628","4354"
"Early Childhood Education","194011","6480","6187","293","187531","181302","6229"
"Science And Computer Teacher Education","76220","35585","34796","789","40635","39277","1358"
"Secondary Teacher Education","229196","111207","108470","2737","117989","114720","3269"
"Special Needs Education","251109","30043","29285","758","221066","215222","5844"
"Social Science Or History Teacher Education","140019","77746","75416","2330","62273","60077","2196"
"Teacher Education: Multiple Levels","100957","23015","22368","647","77942","76356","1586"
"Language And Drama Education","220356","44277","42774","1503","176079","170563","5516"
"Art And Music Education","268942","103298","100577","2721","165644","161206","4438"
"Miscellaneous Education","198571","92030","88861","3169","106541","102883","3658"
"General Engineering","618057","533917","517463","16454","84140","80103","4037"
"Aerospace Engineering","96242","86554","84037","2517","9688","9532","156"
"Biological Engineering","46521","34756","33796","960","11765","11210","555"
"Architectural Engineering","19653","15599","15013","586","4054","3823","231"
"Biomedical Engineering","49124","31796","30623","1173","17328","16779","549"
"Chemical Engineering","283106","208933","202371","6562","74173","71706","2467"
"Civil Engineering","456838","385311","373461","11850","71527","68635","2892"
"Computer Engineering","266804","220689","214523","6166","46115","43806","2309"
"Electrical Engineering","962680","850702","824151","26551","111978","107121","4857"
"Engineering Mechanics Physics And Science","31704","27851","27024","827","3853","3782","71"
"Environmental Engineering","24991","16474","16035","439","8517","8182","335"
"Geological And Geophysical Engineering","7753","5887","5740","147","1866","1829","37"
"Industrial And Manufacturing Engineering","183504","141939","137305","4634","41565","39760","1805"
"Materials Engineering And Materials Science","32728","24897","24248","649","7831","7541","290"
"Mechanical Engineering","771300","700118","680542","19576","71182","68492","2690"
"Metallurgical Engineering","15829","13759","13287","472","2070","1975","95"
"Mining And Mineral Engineering","12350","11198","10652","546","1152","1111","41"
"Naval Architecture And Marine Engineering","17370","16467","15974","493","903","887","16"
"Nuclear Engineering","16524","14780","14294","486","1744","1694","50"
"Petroleum Engineering","23525","20275","19512","763","3250","3152","98"
"Miscellaneous Engineering","81727","67115","64895","2220","14612","14072","540"
"Engineering Technologies","46052","37073","35748","1325","8979","8513","466"
"Engineering And Industrial Management","39277","32781","31543","1238","6496","6187","309"
"Electrical Engineering Technology","107031","93245","90517","2728","13786","13061","725"
"Industrial Production Technologies","80570","73126","70332","2794","7444","6914","530"
"Mechanical Engineering Related Technologies","34337","32185","31254","931","2152","2099","53"
"Miscellaneous Engineering Technologies","79264","64350","61564","2786","14914","14269","645"
"Linguistics And Comparative Language And Literature","96275","29327","27429","1898","66948","62852","4096"
"French German Latin And Other Common Foreign Language Studies","308686","86196","82443","3753","222490","214054","8436"
"Other Foreign Languages","74544","32189","30916","1273","42355","40334","2021"
"Family And Consumer Sciences","372253","36231","34744","1487","336022","324122","11900"
"Court Reporting","7396","4475","4339","136","2921","2795","126"
"Pre-Law And Legal Studies","83393","30237","28693","1544","53156","50887","2269"
"English Language And Literature","1428423","522875","499509","23366","905548","866805","38743"
"Composition And Rhetoric","74398","28969","26983","1986","45429","42608","2821"
"Liberal Arts","626581","266821","255094","11727","359760","343180","16580"
"Humanities","53404","21659","20334","1325","31745","30035","1710"
"Library Science","22617","3229","3108","121","19388","18839","549"
"Biology","1652145","839052","814481","24571","813093","784797","28296"
"Biochemical Sciences","187389","107933","104617","3316","79456","76537","2919"
"Botany","21391","10971","10705","266","10420","9975","445"
"Molecular Biology","65545","32889","31806","1083","32656","31510","1146"
"Ecology","61994","28810","27597","1213","33184","32154","1030"
"Genetics","17518","8128","7979","149","9390","9219","171"
"Microbiology","118549","57611","55864","1747","60938","58501","2437"
"Pharmacology","12011","5234","4980","254","6777","6638","139"
"Physiology","101001","48743","47188","1555","52258","50461","1797"
"Zoology","116794","73099","71241","1858","43695","42831","864"
"Neuroscience","32595","14698","14105","593","17897","17022","875"
"Miscellaneous Biology","57187","32074","31177","897","25113","23790","1323"
"Mathematics","606461","367567","354542","13025","238894","232138","6756"
"Applied Mathematics","34413","21376","20334","1042","13037","12233","804"
"Statistics And Decision Science","39695","22821","22097","724","16874","16231","643"
"Military Technologies","4586","4006","3728","278","580","580","0"
"Multi/Interdisciplinary Studies","64618","19826","18625","1201","44792","42855","1937"
"Intercultural And International Studies","90810","32831","31109","1722","57979","54645","3334"
"Nutrition Sciences","94268","13290","12763","527","80978","77862","3116"
"Mathematics And Computer Science","13417","9063","8811","252","4354","4229","125"
"Cognitive Science And Biopsychology","14109","6624","6417","207","7485","7246","239"
"Interdisciplinary Social Sciences","77447","25054","23704","1350","52393","49910","2483"
"Physical Fitness Parks Recreation And Leisure","504309","275289","265452","9837","229020","222420","6600"
"Philosophy And Religious Studies","344199","239192","229080","10112","105007","100294","4713"
"Theology And Religious Vocations","307441","232588","226541","6047","74853","71476","3377"
"Physical Sciences","10542","7607","7411","196","2935","2826","109"
"Astronomy And Astrophysics","9292","6606","6250","356","2686","2604","82"
"Atmospheric Sciences And Meteorology","22934","16970","16334","636","5964","5772","192"
"Chemistry","566097","364527","353009","11518","201570","193942","7628"
"Geology And Earth Science","159165","114710","110127","4583","44455","42697","1758"
"Geosciences","14674","10857","10479","378","3817","3672","145"
"Oceanography","14628","8738","8457","281","5890","5628","262"
"Physics","263420","219405","212336","7069","44015","42646","1369"
"Materials Science","21714","15764","15269","495","5950","5725","225"
"Multi-Disciplinary Or General Science","476172","256819","248443","8376","219353","211266","8087"
"Nuclear, Industrial Radiology, And Biological Technologies","13212","5521","5377","144","7691","7477","214"
"Psychology","2228705","695182","664406","30776","1533523","1469598","63925"
"Educational Psychology","25473","6156","6014","142","19317","18687","630"
"Clinical Psychology","21928","6817","6389","428","15111","14205","906"
"Counseling Psychology","60920","15598","15145","453","45322","43353","1969"
"Industrial And Organizational Psychology","23137","9636","9194","442","13501","12385","1116"
"Social Psychology","11656","4032","3867","165","7624","7130","494"
"Miscellaneous Psychology","53118","15767","15130","637","37351","35558","1793"
"Criminal Justice And Fire Protection","937425","559032","538315","20717","378393","359752","18641"
"Public Administration","81478","43888","42002","1886","37590","35499","2091"
"Public Policy","30529","14999","14085","914","15530","14774","756"
"Human Services And Community Organization","103284","19972","18984","988","83312","78620","4692"
"Social Work","482530","71159","68059","3100","411371","397231","14140"
"General Social Sciences","134942","60192","57407","2785","74750","71129","3621"
"Economics","1023896","724460","696248","28212","299436","286151","13285"
"Anthropology And Archeology","218322","81320","76122","5198","137002","129839","7163"
"Criminology","89101","49153","46830","2323","39948","38394","1554"
"Geography","141480","96917","92671","4246","44563","42568","1995"
"International Relations","135885","60540","57801","2739","75345","71452","3893"
"Political Science And Government","1198508","744905","712968","31937","453603","433813","19790"
"Sociology","766563","269699","257763","11936","496864","475643","21221"
"Miscellaneous Social Sciences","25579","12298","11942","356","13281","12632","649"
"Construction Services","105172","96411","93116","3295","8761","8375","386"
"Electrical, Mechanical, And Precision Technologies And Production","19732","17919","17130","789","1813","1686","127"
