Source: ACS 5-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: Employment status recode (ESR): Civilian employed, at work, Unemployed; Recoded field of degree - first entry (FOD1P): all except: N/A (less than bachelor's degree)"
"","Sex (SEX)","","",""
"","Male","","Female",""
"","Employment status recode (ESR)","","Employment status recode (ESR)",""
"Recoded field of degree - first entry","Civilian employed, at work","Unemployed","Civilian employed, at work","Unemployed"
"General Agriculture","91985","25388","61471","16782"
"Agriculture Production And Management","100092","35465","55683","27247"
"Agricultural Economics","124610","25299","76169","31604"
"Animal Sciences","104881","34686","61939","21680"
"Food Science","106132","42211","76108","17921"
"Plant Science And Agronomy","88856","29350","58047","17523"
"Soil Science","91403","13761","71791","17871"
"Miscellaneous Agriculture","92365","1700","53379","2706"
"Environmental Science","85085","43445","62574","19830"
"Forestry","87735","35584","59649","32709"
"Natural Resources Management","84214","23781","62963","20840"
"Architecture","107672","39477","76968","28444"
"Area Ethnic And Civilization Studies","118219","40496","78199","31209"
"Communications","97262","36099","71853","26542"
"Journalism","98199","32580","76981","25273"
"Mass Media","82226","35489","63004","23631"
"Advertising And Public Relations","99541","32377","71348","33188"
"Communication Technologies","77956","26863","55969","15553"
"Computer And Information Systems","100688","32904","79956","21719"
"Computer Programming And Data Processing","92800","37053","75468","15118"
"Computer Science","127643","33925","98109","24815"
"Information Sciences","111310","35142","88970","22952"
"Computer Administration Management And Security","91952","24215","74970","19533"
"Computer Networking And Telecommunications","93187","21445","72147","20979"
"Cosmetology Services And Culinary Arts","67924","27503","44335","17669"
"General Education","81616","35343","59404","22366"
"Educational Administration And Supervision","98298","29361","69739","61897"
"School Student Counseling","76951","52367","60735","44679"
"Elementary Education","74303","36209","57153","23019"
"Mathematics Teacher Education","82124","32064","60913","30931"
"Physical And Health Education Teaching","84050","39242","62775","31234"
"Early Childhood Education","62796","6051","49174","28859"
"Science And Computer Teacher Education","87097","27407","64038","18849"
"Secondary Teacher Education","82879","33388","62636","26115"
"Special Needs Education","77454","47570","61965","24108"
"Social Science Or History Teacher Education","86199","33053","62522","23971"
"Teacher Education: Multiple Levels","69478","41035","56031","22743"
"Language And Drama Education","76594","30337","60830","17846"
"Art And Music Education","71497","26409","55574","24295"
"Miscellaneous Education","95620","45032","64071","25031"
"General Engineering","121436","36105","90558","14841"
"Aerospace Engineering","132765","37229","105711","9766"
"Biological Engineering","113584","25377","82809","25295"
"Architectural Engineering","123171","31686","85159","8786"
"Biomedical Engineering","136126","14302","93585","25827"
"Chemical Engineering","146175","46554","104756","23931"
"Civil Engineering","124726","41024","87861","18854"
"Computer Engineering","135081","33076","98316","20628"
"Electrical Engineering","141655","44306","110087","23460"
"Engineering Mechanics Physics And Science","135469","42623","101381","31743"
"Environmental Engineering","102829","16873","72463","14896"
"Geological And Geophysical Engineering","117022","34600","73844","32439"
"Industrial And Manufacturing Engineering","129815","60197","92749","19553"
"Materials Engineering And Materials Science","130349","34905","85308","19878"
"Mechanical Engineering","125555","38966","96622","18728"
"Metallurgical Engineering","149259","73761","86759","25600"
"Mining And Mineral Engineering","135490","66734","71211","59887"
"Naval Architecture And Marine Engineering","138625","94128","81743","5045"
"Nuclear Engineering","142242","23964","105834","61215"
"Petroleum Engineering","153712","51162","97365","15852"
"Miscellaneous Engineering","118362","34911","78561","22897"
"Engineering Technologies","97061","36799","70960","13032"
"Engineering And Industrial Management","135846","66667","92984","14097"
"Electrical Engineering Technology","110528","42858","84385","10347"
"Industrial Production Technologies","109453","44163","86322","12305"
"Mechanical Engineering Related Technologies","93392","31549","68987","73000"
"Miscellaneous Engineering Technologies","102531","38245","73239","13423"
"Linguistics And Comparative Language And Literature","98727","28566","71530","21878"
"French German Latin And Other Common Foreign Language Studies","107868","25898","76924","34628"
"Other Foreign Languages","98536","40738","66715","26439"
"Family And Consumer Sciences","89518","28207","57073","25087"
"Pre-Law And Legal Studies","106817","24124","70454","21720"
"English Language And Literature","110909","33682","73693","25652"
"Composition And Rhetoric","76735","26086","58961","26592"
"Liberal Arts","99078","30799","65148","27128"
"Humanities","99381","39425","68749","29044"
"Library Science","82442","60548","67073","15117"
"Biology","153449","30433","89799","24033"
"Biochemical Sciences","155322","40111","101766","20513"
"Botany","112450","21862","72244","35555"
"Molecular Biology","159454","17158","101528","14653"
"Ecology","88570","21609","62038","24316"
"Genetics","135867","12601","102702","16242"
"Microbiology","149501","24852","95973","30001"
"Pharmacology","155697","117525","116199","4839"
"Physiology","138993","18976","86060","23434"
"Zoology","182467","54178","94434","20723"
"Neuroscience","126078","14035","79442","26284"
"Miscellaneous Biology","93536","32836","74933","30108"
"Mathematics","129755","38311","88233","26269"
"Applied Mathematics","139592","31134","104373","39320"
"Statistics And Decision Science","117492","44126","90950","21792"
"Military Technologies","105773","37075","88995","null"
"Multi/Interdisciplinary Studies","79586","21359","55156","14259"
"Intercultural And International Studies","97775","36505","70549","22926"
"Nutrition Sciences","103173","24147","66466","22427"
"Mathematics And Computer Science","140211","40136","107583","117927"
"Cognitive Science And Biopsychology","126492","15111","88550","6105"
"Interdisciplinary Social Sciences","113590","34690","65466","24905"
"Physical Fitness Parks Recreation And Leisure","75155","21719","57259","17707"
"Philosophy And Religious Studies","106368","32180","80803","20237"
"Theology And Religious Vocations","68474","28657","47292","21375"
"Physical Sciences","123208","24454","73205","33068"
"Astronomy And Astrophysics","109835","5435","82009","15793"
"Atmospheric Sciences And Meteorology","100841","27700","70214","139874"
"Chemistry","153411","55458","98788","23563"
"Geology And Earth Science","107268","41500","72377","19030"
"Geosciences","115472","76123","84540","3508"
"Oceanography","106742","24491","62861","29162"
"Physics","134369","42799","91285","21459"
"Materials Science","121294","14541","101389","30583"
"Multi-Disciplinary Or General Science","118255","34710","73610","18763"
"Nuclear, Industrial Radiology, And Biological Technologies","100008","24149","64362","55299"
"Psychology","105587","32568","66547","22217"
"Educational Psychology","94499","25728","69129","20051"
"Clinical Psychology","114703","16150","68446","22263"
"Counseling Psychology","88933","32627","56650","15842"
"Industrial And Organizational Psychology","111127","28671","80341","26543"
"Social Psychology","98459","66572","63896","10724"
"Miscellaneous Psychology","121394","52420","72267","26621"
"Criminal Justice And Fire Protection","86539","26266","58228","18251"
"Public Administration","108286","29344","76155","26331"
"Public Policy","136434","68298","95221","27992"
"Human Services And Community Organization","79470","37564","53915","15579"
"Social Work","74619","25938","57141","18378"
"General Social Sciences","99301","34855","68994","17583"
"Economics","158610","49157","105774","29286"
"Anthropology And Archeology","97671","26794","69170","25400"
"Criminology","85150","25207","60046","12026"
"Geography","98070","32616","69555","18263"
"International Relations","139162","41017","88393","33200"
"Political Science And Government","138398","36834","94795","31314"
"Sociology","97937","34174","67839","24454"
"Miscellaneous Social Sciences","124594","27321","92938","34761"
"Construction Services","109996","72789","80349","33179"
"Electrical, Mechanical, And Precision Technologies And Production","79245","40023","61058","28228"
"Transportation Sciences And Technologies","122534","45041","89808","17910"
"Fine Arts","79648","27879","60421","22228"
"Drama And Theater Arts","74352","36044","57321","27415"
"Music","74956","29497","56517","25427"
"Visual And Performing Arts","71307","23635","53003","25142"
"Commercial Art And Graphic Design","80506","33536","60351","22778"
"Film Video And Photographic Arts","78914","40215","58600","24675"
"Art History And Criticism","114057","34869","80890","28251"
"Studio Arts","69542","24688","52494","20350"
"Miscellaneous Fine Arts","59095","21193","58315","12704"
"General Medical And Health Services","94604","29242","63238","17356"
"Communication Disorders Sciences And Services","104685","30020","69413","20761"
"Health And Medical Administrative Services","100796","34397","64018","25984"
"Medical Assisting Services","114619","11029","63573","16597"
"Medical Technologies Technicians","101373","23899","73785","29062"
"Health And Medical Preparatory Programs","209925","37414","124073","20490"
"Nursing","104629","26083","79027","29605"
"Pharmacy Pharmaceutical Sciences And Administration","141103","38150","100946","20030"
"Treatment Therapy Professions","104605","19056","69834","23370"
"Community And Public Health","89008","22863","59366","20521"
"Miscellaneous Health Medical Professions","87063","38112","63112","16381"
"General Business","119997","38447","78479","28278"
"Accounting","132930","48312","84449","27662"
"Actuarial Science","139855","25298","103889","20001"
"Business Management And Administration","113346","41657","74292","27773"
"Operations Logistics And E-Commerce","98915","33220","78489","27464"
"Business Economics","140282","54240","92921","34678"
"Marketing And Marketing Research","114347","37581","75077","27063"
"Finance","142875","44084","93108","27671"
"Human Resources And Personnel Management","106085","35242","73981","22727"
"International Business","109304","25467","79190","20982"
"Hospitality Management","91976","43950","57568","21325"
"Management Information Systems And Statistics","117581","41668","90037","35756"
"Miscellaneous Business and Medical Administration","115655","32582","67493","25943"
"History","120352","37863","79922","28250"
"United States History","121792","41656","80572","36363"
