"","","Male","","","Female","",""
"Major","Total","Total Male Employment","Employed","Unemployed","Total Female Employment","Employed","Unemployed"
" -> Total","59476982","29400509","28456986","943523","30076473","29137139","939334"
"General Agriculture","126806","92562","90130","2432","34244","33352","892"
"Agriculture Production And Management","121445","90358","88869","1489","31087","30387","700"
"Agricultural Economics","41624","32385","31765","620","9239","9085","154"
"Animal Sciences","164811","69159","67960","1199","95652","93452","2200"
"Food Science","44382","17777","17387","390","26605","25753","852"
"Plant Science And Agronomy","100126","70188","68717","1471","29938","29059","879"
"Soil Science","6745","4965","4914","51","1780","1738","42"
"Miscellaneous Agriculture","14585","7169","7162","7","7416","7283","133"
"Environmental Science","241168","120224","115608","4616","120944","116213","4731"
"Forestry","66528","53611","52614","997","12917","12475","442"
"Natural Resources Management","131734","81968","79287","2681","49766","48315","1451"
"Architecture","452325","296667","288601","8066","155658","149424","6234"
"Area Ethnic And Civilization Studies","200835","67401","65011","2390","133434","128557","4877"
"Communications","1489547","602229","576692","25537","887318","853098","34220"
"Journalism","516509","207335","198101","9234","309174","296871","12303"
"Mass Media","357067","186284","175975","10309","170783","162592","8191"
"Advertising And Public Relations","255088","85177","81400","3777","169911","163588","6323"
"Communication Technologies","100711","65937","62127","3810","34774","32682","2092"
"Computer And Information Systems","513840","381808","369516","12292","132032","126468","5564"
"Computer Programming And Data Processing","43013","32096","30838","1258","10917","10472","445"
"Computer Science","1516863","1177637","1136869","40768","339226","325100","14126"
"Information Sciences","152359","110989","107707","3282","41370","39876","1494"
"Computer Administration Management And Security","108888","85319","82387","2932","23569","22575","994"
"Computer Networking And Telecommunications","74761","55699","53852","1847","19062","18388","674"
"Cosmetology Services And Culinary Arts","58426","33231","31405","1826","25195","23628","1567"
"General Education","1722656","442397","433453","8944","1280259","1251924","28335"
"Educational Administration And Supervision","44904","16795","16500","295","28109","27777","332"
"School Student Counseling","17166","3389","3128","261","13777","13662","115"
"Elementary Education","1341307","143705","140849","2856","1197602","1175449","22153"
